ADD_USER user1
ADD_USER user2
ADD_USER user3
ADD_USER user4
ADD_USER user5
ADD_USER user6
ADD_USER user7
ADD_USER user8
ADD_USER user9
ADD_USER user10
ADD_USER user11
ADD_USER user12
ADD_USER user13
ADD_USER user14
ADD_USER user15
ADD_USER user16
ADD_USER user17
ADD_USER user18
ADD_USER user19
ADD_USER user20
ADD_USER user21
ADD_USER user22
ADD_USER user23
ADD_USER user24
ADD_USER user25
ADD_USER user26
ADD_USER user27
ADD_USER user28
ADD_USER user29
ADD_USER user30
ADD_USER user31
ADD_USER user32
ADD_USER user33
ADD_USER user34
ADD_USER user35
ADD_USER user36
ADD_USER user37
ADD_USER user38
ADD_USER user39
ADD_USER user40
ADD_USER user41
ADD_USER user42
ADD_USER user43
ADD_USER user44
ADD_USER user45
ADD_USER user46
ADD_USER user47
ADD_USER user48
ADD_USER user49
ADD_USER user50
ADD_FRIEND user1 user2
ADD_FRIEND user1 user3
ADD_FRIEND user1 user4
ADD_FRIEND user1 user5
ADD_FRIEND user1 user6
ADD_FRIEND user2 user3
ADD_FRIEND user2 user4
ADD_FRIEND user2 user7
ADD_FRIEND user2 user8
ADD_FRIEND user3 user4
ADD_FRIEND user3 user9
ADD_FRIEND user3 user10
ADD_FRIEND user4 user5
ADD_FRIEND user4 user11
ADD_FRIEND user4 user12
ADD_FRIEND user5 user6
ADD_FRIEND user5 user13
ADD_FRIEND user5 user14
ADD_FRIEND user6 user7
ADD_FRIEND user6 user15
ADD_FRIEND user6 user16
ADD_FRIEND user7 user8
ADD_FRIEND user7 user17
ADD_FRIEND user7 user18
ADD_FRIEND user8 user9
ADD_FRIEND user8 user19
ADD_FRIEND user8 user20
ADD_FRIEND user9 user10
ADD_FRIEND user9 user11
ADD_FRIEND user10 user12
ADD_FRIEND user10 user13
ADD_FRIEND user11 user12
ADD_FRIEND user11 user14
ADD_FRIEND user12 user13
ADD_FRIEND user12 user15
ADD_FRIEND user13 user14
ADD_FRIEND user13 user16
ADD_FRIEND user14 user15
ADD_FRIEND user14 user17
ADD_FRIEND user15 user16
ADD_FRIEND user15 user18
ADD_FRIEND user16 user17
ADD_FRIEND user16 user19
ADD_FRIEND user17 user18
ADD_FRIEND user17 user20
ADD_FRIEND user18 user19
ADD_FRIEND user19 user20
ADD_FRIEND user21 user22
ADD_FRIEND user22 user23
ADD_FRIEND user23 user24
ADD_FRIEND user24 user25
ADD_FRIEND user25 user26
ADD_FRIEND user26 user27
ADD_FRIEND user27 user28
ADD_FRIEND user28 user29
ADD_FRIEND user29 user30
ADD_FRIEND user31 user32
ADD_FRIEND user31 user33
ADD_FRIEND user31 user34
ADD_FRIEND user31 user35
ADD_FRIEND user31 user36
ADD_FRIEND user31 user37
ADD_FRIEND user31 user38
ADD_FRIEND user31 user39
ADD_FRIEND user31 user40
ADD_FRIEND user20 user21
ADD_FRIEND user30 user31


LIST_FRIENDS user1
LIST_FRIENDS user8
LIST_FRIENDS user31
LIST_FRIENDS user41


DEGREES_OF_SEPARATION user1 user2
DEGREES_OF_SEPARATION user1 user9
DEGREES_OF_SEPARATION user1 user25
DEGREES_OF_SEPARATION user1 user35
DEGREES_OF_SEPARATION user1 user41
DEGREES_OF_SEPARATION user41 user42
DEGREES_OF_SEPARATION user32 user40


ADD_POST user1 "Hello World! This is my first post."
ADD_POST user1 "Just joined this amazing network!"
ADD_POST user1 "Having a great day with friends."
ADD_POST user1 "Learning data structures is fun!"
ADD_POST user1 "AVL trees are fascinating."
ADD_POST user1 "Graphs are everywhere in computer science."
ADD_POST user1 "Working on my COL106 assignment."
ADD_POST user1 "The social network simulator is coming along nicely."
ADD_POST user1 "Testing post functionality."
ADD_POST user1 "This is my tenth post!"
ADD_POST user2 "First post from user2"
ADD_POST user2 "Second post from user2"
ADD_POST user2 "Third post from user2"
ADD_POST user31 "Hello from the center of the star!"
ADD_POST user31 "Connected to many friends"
ADD_POST user41 "Lonely but still posting"


OUTPUT_POSTS user1 5
OUTPUT_POSTS user1 -1
OUTPUT_POSTS user1 15
OUTPUT_POSTS user2 2
OUTPUT_POSTS user41 -1
OUTPUT_POSTS user50 5


SUGGEST_FRIENDS user1 5
SUGGEST_FRIENDS user1 0
SUGGEST_FRIENDS user32 3
SUGGEST_FRIENDS user21 5
SUGGEST_FRIENDS user41 10



ADD_USER TestUser
ADD_FRIEND user1 TestUser
ADD_POST testuser "Case insensitive post"
LIST_FRIENDS TESTUSER
OUTPUT_POSTS TeStUsEr -1
ADD_USER user51
